Nome,Categoria do Serviço
100 Impressões,Outros Serviços
50 Impressões,Outros Serviços
50 Impressões,Outros Serviços
Acesso extra - Ayrton Senna,Salas Privativas -  Ayrton Senna
Acesso extra - Seaway Center,Salas Privativas - Seaway Center
Acesso extra - Sebrae,Salas Privativas -  Sebrae
Acesso livre - Ayrton Senna,Outros Serviços
Acesso livre - seaway center,Outros Serviços
Atendimento AdicionalPADRÃO,Salas Privativas - Seaway Center
Auditório Empreenda - Sebrae,Serviços de Espaço -  Sebrae
Certificado Digital,Outros Serviços
Contrato: Auditório Seaway,Serviços de Espaço - Seaway Center
Contrato: Estação 01 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 01 - Coworking Sebrae,Salas Privativas -  Sebrae
Contrato: Estação 01 - L14,Salas Privativas - Seaway Center
Contrato: Estação 01 Sala 05 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Estação 01 Sala 07 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Estação 01 Sala 07 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Estação 02 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 02 - Coworking Sebrae,Salas Privativas -  Sebrae
Contrato: Estação 02 - L14,Salas Privativas - Seaway Center
Contrato: Estação 02 Sala 04 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Estação 02 Sala 07 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Estação 02 Sala 07 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Estação 03 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 03 - Coworking Sebrae,Salas Privativas -  Sebrae
Contrato: Estação 03 - L14,Salas Privativas - Seaway Center
Contrato: Estação 03 Sala 07 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Estação 04 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 04 - Coworking Sebrae,Salas Privativas -  Sebrae
Contrato: Estação 04 - L14,Salas Privativas - Seaway Center
Contrato: Estação 04 Sala 07 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Estação 05 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 05 - L14,Salas Privativas - Seaway Center
Contrato: Estação 05 Sala 07 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Estação 06 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 07 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 08 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 09 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 10 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 11 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 12 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 13 - Coworking L21,Salas Privativas - Seaway Center
Contrato: Estação 13 - Coworking L21 (Turno),Salas Privativas - Seaway Center
Contrato: Estação de estudo 01 - Loja 08,Salas Privativas - Seaway Center
Contrato: Estação de estudo 02 - Loja 08,Salas Privativas - Seaway Center
Contrato: Meu Depósito 01,Meu Depósito
Contrato: Meu Depósito 01 (Walter Fernandes),Meu Depósito
Contrato: Meu Depósito 02,Meu Depósito
Contrato: Meu Depósito 03,Meu Depósito
Contrato: Meu Depósito 04,Meu Depósito
Contrato: Meu Depósito 04,Meu Depósito
Contrato: Meu Depósito 05,Meu Depósito
Contrato: Meu Depósito 05,Meu Depósito
Contrato: Meu Depósito 06,Meu Depósito
Contrato: Meu Depósito 07,Meu Depósito
Contrato: Meu Depósito 08,Meu Depósito
Contrato: Meu Depósito 09,Meu Depósito
Contrato: Meu Depósito 09,Meu Depósito
Contrato: Meu Depósito 10,Meu Depósito
Contrato: Meu Depósito 10,Meu Depósito
Contrato: Sala 01 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 01 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 01 - Loja 05,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 06,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 08,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 09,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 10,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 11,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 12,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 12,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 13,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 28,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 30,Salas Privativas - Seaway Center
Contrato: Sala 01 - Loja 30,Salas Privativas - Seaway Center
Contrato: Sala 01 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 01 -Loja 11,Salas Privativas - Seaway Center
Contrato: Sala 02 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 02 - Loja 10,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 10,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 12,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 13,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 21,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 28,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 28,Salas Privativas - Seaway Center
Contrato: Sala 02 - Loja 30,Salas Privativas - Seaway Center
Contrato: Sala 02 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 03 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 03 - Loja 10,Salas Privativas - Seaway Center
Contrato: Sala 03 - Loja 13,Salas Privativas - Seaway Center
Contrato: Sala 03 - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 03 - Loja 21,Salas Privativas - Seaway Center
Contrato: Sala 03 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 03 - Loja 28,Salas Privativas - Seaway Center
Contrato: Sala 03 - Loja 28,Salas Privativas - Seaway Center
Contrato: Sala 03 - Loja 30,Salas Privativas - Seaway Center
Contrato: Sala 03 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 04 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 04 - Loja 13,Salas Privativas - Seaway Center
Contrato: Sala 04 - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 04 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 04 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 04 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 04 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 05 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 05 - Loja 11,Salas Privativas - Seaway Center
Contrato: Sala 05 - Loja 13,Salas Privativas - Seaway Center
Contrato: Sala 05 - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 05 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 05 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 05 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 05 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 06  - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 06 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 06 - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 06 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 06 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 06 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 07 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 07 - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 07 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 07 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 07 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 07 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 08  - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 08  - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 08 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 08 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 08 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 08 Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 09  - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 09  - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 09 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 09 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 09 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 10  - Loja 14,Salas Privativas - Seaway Center
Contrato: Sala 10 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 10 - Loja 24,Salas Privativas - Seaway Center
Contrato: Sala 10 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 10 - Sebrae,Salas Privativas -  Sebrae
Contrato: Sala 108 - Empresarial Lêda Maria,IMOB
Contrato: Sala 11 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 11 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 11 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 11 - Loja 26,Salas Privativas - Seaway Center
Contrato: Sala 12 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 13 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 14 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 14 Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 15 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 16 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 17 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala 18 - Ayrton Senna,Salas Privativas -  Ayrton Senna
Contrato: Sala de atendimento 01,Serviços de Espaço - Seaway Center
Contrato: Sala de atendimento 02,Serviços de Espaço - Seaway Center
Contrato: Sala de reunião 01,Serviços de Espaço - Seaway Center
Contrato: Sala de reunião 02,Serviços de Espaço - Seaway Center
Contrato: Sala de reunião 03,Serviços de Espaço - Seaway Center
Contrato: Sala de reuniao Ariano - Sebrae,Serviços de Espaço -  Sebrae
Cópias Chave,Outros Serviços
Cortesia - 1° resrva,Outros Serviços
Diária sala de atendimento - Seaway Center,Serviços de Espaço - Seaway Center
Diária sala de atendimento - Sebrae,Serviços de Espaço -  Sebrae
Diária sala de auditório  - Seaway Center,Serviços de Espaço - Seaway Center
Diária sala de auditório  - Sebrae,Serviços de Espaço -  Sebrae
Diária sala de reunião - Ayrton Senna,Serviços de Espaço -  Ayrton Senna
Diária sala de reunião - Seaway Center,Serviços de Espaço - Seaway Center
Diária sala de reunião - Sebrae,Serviços de Espaço -  Sebrae
Digitalização,Outros Serviços
Encontro Avulso Hub Empreendedoras,Outros Serviços
Endereço Fiscal,Endereço Fiscal 
Endereço Fiscal,Endereço Fiscal 
Endereço Fiscal De Comercio,Endereço Fiscal 
Endereço Fiscal de Comércio,Endereço Fiscal 
Energia,Outros Serviços
Energia,Outros Serviços
Entre turnos Domingo,Outros Serviços
Entre turnos Sábado (5h),Outros Serviços
Estação de Coworking - Seahub Seaway,Salas Privativas - Seaway Center
Estação de Coworking - Seahub Seaway,Salas Privativas - Seaway Center
EV - Endereço Fiscal Abissal,Endereço Fiscal 
EV - Endereço Fiscal Batial,Endereço Fiscal 
EV - Endereço Fiscal Litoral,Endereço Fiscal 
Frigobar,Outros Serviços
Garagem,Salas Privativas -  Ayrton Senna
Gaveta,Outros Serviços
Gaveteiro,Outros Serviços
Hora sala de atendimento - Seaway Center,Serviços de Espaço - Seaway Center
Hora sala de atendimento - Sebrae,Serviços de Espaço -  Sebrae
Hora sala de auditório  - Seaway Center,Serviços de Espaço - Seaway Center
Hora sala de auditório  - Sebrae,Serviços de Espaço -  Sebrae
Hora sala de reunião - Ayrton Senna,Serviços de Espaço -  Ayrton Senna
Hora sala de reunião - Seaway Center,Serviços de Espaço - Seaway Center
Hora sala de reunião - Sebrae,Serviços de Espaço -  Sebrae
Hub Empreendedoras: Evento Avulso,Hub Empreendedoras
Hub Empreendedoras: Trilha Completa,Hub Empreendedoras
Iluminação,Outros Serviços
Impressão,Outros Serviços
Impressão Colorida,Outros Serviços
IP FIxo,Outros Serviços
Limpeza,Outros Serviços
Limpeza padrão,Outros Serviços
Manutenção,Outros Serviços
Membro Seahub,Outros Serviços
Movelaria,Salas Privativas - Seaway Center
Multa,Outros Serviços
Multa Seatech,Outros Serviços
Negociação,Outros Serviços
Negociação,Outros Serviços
Pacote de 10h - Auditório (Black Friday),Serviços de Espaço - Seaway Center
Pacote de 10h Atendimento (Black Friday),Serviços de Espaço - Seaway Center
Pacote de 10h Auditório - Ayrton Senna (Black Friday),Serviços de Espaço -  Ayrton Senna
Pacote de 10h Auditório 8h às 17h (Black Friday),Serviços de Espaço - Seaway Center
Pacote de 10h Reunião - Ayrton Senna,Serviços de Espaço -  Ayrton Senna
Pacote de 10h Reunião - Ayrton Senna (Black Friday),Serviços de Espaço -  Ayrton Senna
Pacote de 10h Reunião (Black Friday),Serviços de Espaço - Seaway Center
Pacote de 5h - Auditório (Black Friday),Serviços de Espaço - Seaway Center
Pacote de 5h Atendimento (Black Friday),Serviços de Espaço - Seaway Center
Pacote de 5h Auditório - 8h às 17h (Black Friday),Serviços de Espaço - Seaway Center
Pacote de 5h Auditório - Ayrton Senna (Black Friday),Serviços de Espaço -  Ayrton Senna
Pacote de 5h Reunião - Ayrton Senna,Serviços de Espaço -  Ayrton Senna
Pacote de 5h Reunião - Ayrton Senna (Black Friday),Serviços de Espaço -  Ayrton Senna
Pacote de 5h Reunião (Black Friday),Serviços de Espaço - Seaway Center
Pacote de horas - 100h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 100h - Sala de atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 100h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 108h - Auditório - Donas do Plantão,Serviços de Espaço - Seaway Center
Pacote de horas - 10h Anuais - Sala de Atendimento 03,Serviços de Espaço - Seaway Center
Pacote de horas - 10h Mensais - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 120h - Reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 12h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 15h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 16h - Sala de atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 1h Anual - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 1h Atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 1h Mensal - Sala de reunião (Black Friday),Serviços de Espaço - Seaway Center
Pacote de horas - 20h Mensais - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 25h Mensais - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 275h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 2h - Sala de reunião (Aniversário),Serviços de Espaço - Seaway Center
Pacote de horas - 2h Mensais (Atendimento e reunião),Serviços de Espaço - Seaway Center
Pacote de horas - 30h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 30h - Sala de atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 30h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 30h - Sala de reunião semestral,Serviços de Espaço - Seaway Center
Pacote de horas - 30h Mensais - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 39h Mensais - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 3h,Serviços de Espaço - Seaway Center
Pacote de horas - 40h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 40h - Sala de atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 40h Anuais - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 40h Mensais - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 48h - Sala de reunião anual,Serviços de Espaço - Seaway Center
Pacote de horas - 4h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 4h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 50h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 50h - Sala de atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 50h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 50h Mensais- Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 5h - Sala de reunião (Conexa),Serviços de Espaço - Seaway Center
Pacote de horas - 5h Anuais - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 5h Mensais - Sala de Auditorio,Serviços de Espaço - Seaway Center
Pacote de horas - 60h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 60h - Sala de atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 60h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 6h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 6h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 6h Anuais - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 70h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 70h - Sala de atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 70h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 80h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 80h - Sala de atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 80h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas - 80h Anual - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 90h - Auditório,Serviços de Espaço - Seaway Center
Pacote de horas - 90h - Sala de atendimento,Serviços de Espaço - Seaway Center
Pacote de horas - 90h - Sala de reunião,Serviços de Espaço - Seaway Center
Pacote de horas Aniversariante,Serviços de Espaço - Seaway Center
PH - 10h anuais - Auditório,Serviços de Espaço - Seaway Center
PH - 10h anuais - Sala de atendimento,Serviços de Espaço - Seaway Center
PH - 10h Anuais - Sala de reunião,Serviços de Espaço - Seaway Center
PH - 10h Mensais - Auditório,Serviços de Espaço - Seaway Center
PH - 20h anuais - Auditório,Serviços de Espaço - Seaway Center
PH - 20h anuais - Sala de atendimento,Serviços de Espaço - Seaway Center
PH - 20h Anuais - Sala de reunião,Serviços de Espaço - Seaway Center
PH - 30h Anuais - Sala de atendimento,Serviços de Espaço - Seaway Center
PH - 5h anuais - Auditório,Serviços de Espaço - Seaway Center
PH - 5h anuais - Sala de atendimento,Serviços de Espaço - Seaway Center
PH - 5h anuais - Sala de reunião,Serviços de Espaço - Seaway Center
PH - Anual - Sala de Atendimento,Serviços de Espaço - Seaway Center
PH - Anual - Sala de reunião,Serviços de Espaço - Seaway Center
PH - Pacote de horas - Atendimento 03,Serviços de Espaço - Seaway Center
PH - Pacote de horas - Atendimento 03,Serviços de Espaço - Seaway Center
Plano - registro de marca,Outros Serviços
Pré-Venda Pacote de HorasPADRÃO,Serviços de Espaço - Seaway Center
Pro-rata,Outros Serviços
Red Bull,Outros Serviços
Reforma de Sala,Salas Privativas - Seaway Center
Refrigerante,Outros Serviços
Registro de Marca Seatech,Outros Serviços
Resllo: Plano Candidato PRO,Resllo
Resllo: Plano Empresa Premium,Resllo
Resllo: Plano Empresa PRO,Resllo
Resllo: Plano Recrutadora,Resllo
SeaBox Básico,SeaBox
Seabox Básico - Encomenda,SeaBox
SeaBox Pro,SeaBox
Seabox Pro - Encomenda,SeaBox
Seatech - EV - Endereço Fiscal Abissal,Endereço Fiscal 
Seatech - EV - Endereço Fiscal Batial,Endereço Fiscal 
Seatech - EV - Endereço Fiscal Litoral,Endereço Fiscal 
Seatech - EV - Endereço Fiscal Litoral PP,Endereço Fiscal 
Seatech - EV Abissal (Bianual),Endereço Fiscal 
Seatech - EV Batial (Bianual),Endereço Fiscal 
Seatech - EV Litoral (Bianual),Endereço Fiscal 
Serviço de Cutelaria,Outros Serviços
Taxa de AdesãoPADRÃO,Outros Serviços
Taxa de reserva Domingo,Outros Serviços
Taxa Reserva noite e Sábado,Outros Serviços
TelefoniaPADRÃO,Outros Serviços
Toalha para mesa,Outros Serviços
Toddynho,Outros Serviços
Trilha Hub Empreendedoras,Outros Serviços
Turno Estação de Coworking - Ayrton Senna,Salas Privativas -  Ayrton Senna
Turno Estação de Coworking - Ayrton Senna,Salas Privativas -  Ayrton Senna
Turno Estação de Coworking - Seahub Seaway,Salas Privativas - Seaway Center
Turno Estação de Coworking - Seahub Seaway,Salas Privativas - Seaway Center
Turno sala de atendimento - Seaway Center,Serviços de Espaço - Seaway Center
Turno sala de atendimento - Sebrae,Serviços de Espaço -  Sebrae
Turno sala de auditório - Seaway Center,Serviços de Espaço - Seaway Center
Turno sala de auditório - Sebrae,Serviços de Espaço -  Sebrae
Turno sala de reunião - Ayrton Senna,Serviços de Espaço -  Ayrton Senna
Turno sala de reunião - Seaway Center,Serviços de Espaço - Seaway Center
Turno sala de reunião - Sebrae,Serviços de Espaço -  Sebrae
Estação 06 - L14,Salas Privativas - Seaway Center
Sala 04 - Sebrae ,Salas Privativas -  Sebrae